user_id,signup_date,country,device,user_segment,wallet_connected,funded,used_product,retained,deposit_amount
1,03.02.2024,DE,mobile,new,1.0,1,0,0,3699.28
2,03.06.2024,SG,mobile,returning,1.0,1,0,0,3513.58
3,2024-05-31,US,mobile,new,1.0,1,1,1,1269.04
4,2024-03-20,DE,desktop,new,1.0,1,0,0,4521.87
5,2024-05-19,AU,mobile,new,1.0,0,0,0,0.0
6,2024-05-23,FR,mobile,vip,1.0,0,0,0,0.0
7,06.12.2024,DE,mobile,returning,1.0,0,0,0,0.0
8,05.09.2024,CA,mobile,returning,1.0,1,1,0,566.64
9,03.04.2024,US,mobile,returning,1.0,1,0,0,4914.31
10,2024-01-29,NL,mobile,new,1.0,1,1,0,4308.23
11,2024-03-27,US,mobile,new,1.0,0,0,0,0.0
12,04.05.2024,IT,mobile,returning,1.0,1,1,1,3455.1
13,2024-01-31,NL,mobile,new,1.0,1,0,0,4696.81
14,2024-03-23,UK,mobile,new,1.0,0,0,0,0.0
15,2024-05-22,US,mobile,new,1.0,0,0,0,0.0
16,02.02.2024,IT,mobile,new,1.0,0,0,0,0.0
17,2024-06-28,US,mobile,returning,1.0,0,0,0,0.0
18,04.09.2024,DE,desktop,new,1.0,1,0,0,3625.44
19,2024-05-27,ES,desktop,returning,1.0,1,0,0,992.76
20,2024-03-13,ES,mobile,returning,1.0,0,0,0,0.0
21,2024-06-14,IT,mobile,new,1.0,1,1,1,2238.67
22,05.10.2024,US,desktop,new,1.0,0,0,0,0.0
23,2024-01-18,IT,mobile,new,1.0,0,0,0,0.0
24,05.05.2024,UK,desktop,vip,1.0,1,0,0,403.94
25,01.07.2024,ES,tablet,new,1.0,1,1,0,1978.8
26,06.11.2024,CA,desktop,new,1.0,1,0,0,3720.93
27,05.03.2024,NL,desktop,returning,1.0,0,0,0,0.0
28,2024-04-23,SG,desktop,new,1.0,1,0,0,1962.89
29,2024-03-24,DE,desktop,vip,1.0,1,0,0,1684.96
30,2024-03-24,CA,desktop,returning,1.0,0,0,0,0.0
31,2024-03-23,CA,desktop,new,1.0,1,0,0,2997.01
32,2024-04-14,FR,desktop,returning,1.0,0,0,0,0.0
33,04.11.2024,CA,mobile,new,1.0,0,0,0,0.0
34,04.02.2024,NL,mobile,returning,1.0,1,1,1,4367.41
35,2024-02-29,NL,desktop,returning,1.0,1,1,1,285.54
36,04.11.2024,DE,mobile,new,1.0,1,1,1,1958.08
37,2024-01-24,IT,desktop,new,1.0,0,0,0,0.0
38,2024-04-18,AU,tablet,vip,1.0,0,0,0,0.0
39,2024-06-15,AU,desktop,new,1.0,1,0,0,833.29
40,2024-05-19,US,tablet,returning,1.0,1,1,1,3492.0
41,04.03.2024,US,desktop,new,1.0,0,0,0,0.0
42,03.04.2024,SG,mobile,new,1.0,1,1,0,573.34
43,01.04.2024,NL,desktop,returning,1.0,0,0,0,0.0
44,04.03.2024,US,mobile,new,1.0,1,1,1,3340.8
45,05.12.2024,FR,mobile,returning,1.0,0,0,0,0.0
46,2024-01-16,US,mobile,new,1.0,1,0,0,1466.6
47,2024-01-27,UK,mobile,new,1.0,0,0,0,0.0
48,05.11.2024,UK,mobile,vip,1.0,1,0,0,1034.64
49,03.12.2024,FR,mobile,new,1.0,1,0,0,4684.95
50,2024-02-17,CA,desktop,vip,1.0,0,0,0,0.0
51,2024-05-15,UK,desktop,vip,1.0,1,1,1,141.7
52,2024-03-21,AU,mobile,vip,1.0,1,0,0,2217.0
53,2024-06-22,AU,mobile,returning,1.0,1,0,0,157.05
54,2024-02-13,UK,desktop,new,1.0,1,0,0,2443.79
55,2024-02-21,US,desktop,vip,1.0,1,1,0,2530.18
56,02.03.2024,SG,tablet,new,1.0,1,1,0,1642.23
57,2024-01-21,SG,mobile,new,1.0,0,0,0,0.0
58,2024-01-24,AU,desktop,new,1.0,0,0,0,0.0
59,2024-02-13,UK,mobile,new,1.0,0,0,0,0.0
60,2024-04-23,CA,desktop,returning,1.0,0,0,0,0.0
61,2024-06-17,DE,mobile,new,1.0,1,0,0,704.2
62,06.05.2024,US,mobile,new,1.0,0,0,0,0.0
63,04.12.2024,US,mobile,new,1.0,1,0,0,1913.12
64,2024-05-13,SG,mobile,new,1.0,1,1,0,3377.7
65,2024-02-25,UK,mobile,returning,1.0,0,0,0,0.0
66,2024-01-14,IT,desktop,new,1.0,1,1,1,3922.86
67,2024-06-26,ES,desktop,new,1.0,0,0,0,0.0
68,04.10.2024,UK,mobile,new,1.0,1,1,0,2677.22
69,2024-06-28,FR,mobile,new,1.0,0,0,0,0.0
